channelId	channelTitle	videoId	videoTitle	videoDesc	published	latitude	longitude	locationDescription	language
UCl5xloVkunrT6Ltwwv17POA	AMIGOS DE BOLSONARO	VgeX3CsP-0s	EXCLUSIVO POL%C3%8DCIA DE MANAUS APREENDE GAL%C3%95ES DE OXIG%C3%8ANIO.	Pra terem ideia da situa%C3%A7%C3%A3o em Manaus. Foi agora a noite. %0AO Grupo Fera da Pol%C3%ADcia Civil do Amazonas apreendeu um caminh%C3%A3o que estocava cilindros de oxig%C3%AAnio para especula%C3%A7%C3%A3o. %0AAntes a recarga de um cilindro saia por menos de R$ 100. Hoje passa de R$ 500. Muitos aproveitadores.%0AEm meio %C3%A0 crise no sistema de sa%C3%BAde do Amazonas, com a falta de leitos e de oxig%C3%AAnio para doentes com covid-19, as pol%C3%ADcias Civil e Militar apreenderam 33 cilindros de oxig%C3%AAnio que estavam escondidos em um caminh%C3%A3o, no bairro Alvorada, na zona centro-oeste de Manaus, na tarde de ontem. Uma den%C3%BAncia an%C3%B4nima informou sobre a movimenta%C3%A7%C3%A3o estranha no caminh%C3%A3o, que estava parado no local, e cilindros estavam sendo retirados para ve%C3%ADculos particulares. O condutor do ve%C3%ADculo, de 38 anos, foi preso por reter produtos para o fim de especula%C3%A7%C3%A3o, segundo informou a SSP-AM (Secretaria de Seguran%C3%A7a P%C3%BAblica do Amazonas). O nome dele e o da transportadora n%C3%A3o foram divulgados. %0A%0A%0A%0A%0Afonte: uol.com.br	2021-01-15T13:15:02Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCZAwhMXxGAAyAKCOzfVv0pw	Jo%C3%A3o Ferreira de Cocal-PI	JvYIdYa02Ro	Pol%C3%ADcia apreende 33 cilindros de oxig%C3%AAnio escondidos em caminh%C3%A3o em Manaus	VEJA A MAT%C3%89RIA  ABAIXO %F0%9F%91%87%F0%9F%91%87%0A%0Ahttps://cocal10.blogspot.com/2021/01/video-policia-apreende-caminhao-com-33.html?m=1	2021-01-15T13:07:15Z	-3.1190275	-60.0217314	Manaus	undefined
UC-wQCOpC9XnABDNZ59DM_4Q	XNN VIDEOS	urp1NhVwsdM	Caminh%C3%A3o de Cilindros de Oxig%C3%A9nio foi apreendido agora em Manaus - V%C3%ADdeo Completo e Exclusivo	Um caminh%C3%A3o com cilindros de oxig%C3%AAnio, na zona centro-oeste de Manaus foi apreendido e um homem de 38 anos foi detido. Ele vai responder por reter produtos. Foram encontrados no caminh%C3%A3o 33 cilindros, dos quais 26 possu%C3%ADam oxig%C3%AAnio.%0A%0A%2523HomemPresoPorReterCilindrosDeOxigenio %2523Caminh%C3%A3oApreendidoManausOxigenio%0A%2523OxigenioManaus %0A%2523FaltaOxigenioEmManaus %0A%2523WhindersonNunesOxigenioManaus%0A%2523CaosManausOxigenio %0A%2523PandemiaManausOxigenio	2021-01-15T03:29:25Z	-3.1190275	-60.0217314	Manaus	undefined
UCjqgBc3yxIlYCDRHSxCsE7g	Global Notice TV	4F96hB7-ejs	URGENTE!!!! Pol%C3%ADcia de Manaus apreende oxig%C3%AAnio.	Grupo Fera encontra caminh%C3%A3o com cilindros de oxig%C3%AAnio em Manaus	2021-01-15T03:12:49Z	-3.1190275	-60.0217314	Manaus	undefined
UCD3o-F9hqnI_tPjQcIlBZmA	IC TV Noticias	ABK4QxU7tzE	Pacientes agonizam em Manaus, e familiares buscam oxig%C3%AAnio por conta pr%C3%B3pria; Veja o v%C3%ADdeo	%2523Manaus %2523Oxigenio%0A%0AManaus est%C3%A1 em colapso com o avan%C3%A7o dos casos de Covid-19: as interna%C3%A7%C3%B5es bateram recordes, as%C2%A0unidades de sa%C3%BAde ficaram sem oxig%C3%AAnio, e%C2%A0pacientes est%C3%A3o sendo enviados para outros estados.%0A%0AOs%C2%A0cemit%C3%A9rios, que tamb%C3%A9m est%C3%A3o lotados, ampliaram o hor%C3%A1rio de funcionamento e%C2%A0instalaram c%C3%A2maras frigor%C3%ADficas. Para frear o v%C3%ADrus, o governo decidiu%C2%A0proibir a circula%C3%A7%C3%A3o de pessoas entre 19h e 6h em Manaus.%0A%0AO%C2%A0G1%C2%A0reuniu relatos de pacientes, familiares e m%C3%A9dicos sobre a crise sem precedentes.%C2%A0Leia abaixo e assista %C3%A0 reportagem do Jornal Nacional:%0A%0AA m%C3%A9dica residente%C2%A0Gabriela Oliveira, do Hospital Universit%C3%A1rio Get%C3%BAlio Vargas (HUGV), diz que%C2%A0a falta de oxig%C3%AAnio deixa os profissionais desesperados.%0A%0A%22O que eu vivi hoje, nem nos meus piores pesadelos eu pensei que poderia acontecer. N%C3%A3o ter como assistir paciente, n%C3%A3o ter palavras para acalentar um familiar. Isso %C3%A9 uma coisa que vai ficar uma cicatriz eterna nos nossos cora%C3%A7%C3%B5es (...). J%C3%A1 n%C3%A3o temos mais sa%C3%BAde mental para lidar com a situa%C3%A7%C3%A3o que Manaus est%C3%A1 enfrentando. Hoje acordamos no nosso pior dia, a falta do oxig%C3%AAnio em algumas institui%C3%A7%C3%B5es nos deixou desesperados. %C3%89 muito angustiante a gente n%C3%A3o ter o que fazer%22, disse ela.%0A%0AUm funcion%C3%A1rio do Hospital 28 de Agosto conta que a falta de equipamentos e de oxig%C3%AAnio obriga as equipes a adotar procedimentos manuais para tentar manter os pacientes vivos. Eles s%C3%A3o %22ambuzados%22 no ch%C3%A3o. %22Ambuzar%22 %C3%A9 fazer a oxigena%C3%A7%C3%A3o manual usando a for%C3%A7a bruta.%0A%0A%22Em muitas ocasi%C3%B5es, a gente recebe paciente, a gente entuba e fica ventilando na m%C3%A3o at%C3%A9 arrumar um ventilador. Mas %C3%A9 complicado, porque at%C3%A9 oxig%C3%AAnio est%C3%A1 faltando%22.%0A%0AO epidemiologista%C2%A0Jesem Orellana, da Fiocruz do Amazonas, afirma que os hospitais de Manaus viraram %22c%C3%A2maras de asfixia%22. Segundo ele, a falta de oxig%C3%AAnio e a necessidade de fazer ventila%C3%A7%C3%A3o manual pode causar sequelas aos pacientes.%0A%0A%22N%C3%B3s assistimos parte dos hospitais de Manaus e das unidades de pronto-atendimento se transformarem em uma esp%C3%A9cie de c%C3%A2maras de asfixia, onde muitas pessoas perderam suas vidas, outras ficaram com oxigena%C3%A7%C3%A3o insuficiente, com ventila%C3%A7%C3%A3o manual, o que certamente pode resultar em sequelas grav%C3%ADssimas.%22%0A%0AA cozinheira%C2%A0Michelle Viana%C2%A0perdeu o pai%C2%A0por falta de oxig%C3%AAnio no Servi%C3%A7o de Pronto Atendimento (SPA) Dr. Jos%C3%A9 Lins.%0A%0A%22Foi falta de oxig%C3%AAnio. Voc%C3%AAs n%C3%A3o tem no%C3%A7%C3%A3o como estava %C3%A0s 8h30 da manh%C3%A3, a gritaria, era gente morrendo. At%C3%A9 os profissionais de sa%C3%BAde, estava todo mundo chorando.%22%0A%0AO promotor%C2%A0P%C3%BAblio Bessa%C2%A0conta que carregou nas costas um cilindro de oxig%C3%AAnio para salvar o filho, internado h%C3%A1 3 dias na Funda%C3%A7%C3%A3o de Medicina Tropical.%0A%0A%22Eu tinha uma bala de oxig%C3%AAnio de 10 metros c%C3%BAbicos, carreguei nas costas, entrei no hospital desesperado. Todos os m%C3%A9dicos e enfermeiros sem condi%C3%A7%C3%B5es de fazer absolutamente nada. A %C3%BAnica solidariedade era o olhar de choro de todos eles.%22%0A%0A%22Eu cheguei na hora exata, meu filho n%C3%A3o tinha mais oxig%C3%AAnio, e consegui instalar bomba de oxig%C3%AAnio dele%22, diz.%0A%0AO professor de educa%C3%A7%C3%A3o f%C3%ADsica%C2%A0Walederson Brand%C3%A3o%C2%A0diz que precisou comprar um cilindro para n%C3%A3o interromper o tratamento da m%C3%A3e.%0A%0A%E2%80%9CO oxig%C3%AAnio foi parando, os pacientes foram agonizando nas macas e as enfermeiras n%C3%A3o sabiam o que fazer. Acabamos de gastar R$ 450 com balas pequena e R$ 1 mil com uma bala de 5 litros que vai durar 1h30%22.%0A%0AA t%C3%A9cnica de enfermagem aposentada%C2%A0Solange Batista%C2%A0tamb%C3%A9m precisou%C2%A0buscar um cilindro por conta pr%C3%B3pria para a irm%C3%A3.%0A%0A%22Estou tentando correr atr%C3%A1s de algu%C3%A9m que encha o cilindro. Mas n%C3%A3o %C3%A9 s%C3%B3 a minha irm%C3%A3. Gra%C3%A7as a Deus a gente ainda pode comprar, mandar encher. Mas e quem n%C3%A3o pode? Como fica? Tem muita gente morrendo. Muita gente. E cad%C3%AA o governo?%E2%80%9D, diz ela.%0A%0AO governador do Amazonas,%C2%A0Wilson Lima, comparou a situa%C3%A7%C3%A3o de Manaus a%C2%A0um cen%C3%A1rio de guerra.%0A%0A%22N%C3%B3s estamos em uma opera%C3%A7%C3%A3o de guerra. Hoje, o oxig%C3%AAnio %C3%A9 o produto mais consumido diante dessa pandemia de Covid-19. Hoje, o estado do Amazonas est%C3%A1 clamando, est%C3%A1 pedindo por socorro.%22%0A%0AAcompanhantes de pacientes internados dizem que o Hospital 28 de Agosto est%C3%A1 fazendo%C2%A0racionamento de oxig%C3%AAnio%C2%A0para prolongar os estoques.%C2%A0%0A%0AEm nota, a Secretaria Estadual de Sa%C3%BAde do Amazonas informou que as unidades de sa%C3%BAde operam com limita%C3%A7%C3%A3o de oxig%C3%AAnio e passaram a adotar um novo protocolo para %22uso racional%22.%0A%0AUm homem que n%C3%A3o se identificou%C2%A0diz que a m%C3%A3e, que %C3%A9 diab%C3%A9tica, buscou atendimento no Servi%C3%A7o de Pronto Atendimento do Alvorada e%C2%A0encontrou as portas fechadas.%C2%A0O local tinha atingido a capacidade de atendimento.%0A%0A%22Caso grav%C3%ADssimo de diabetes, m%C3%A9dico pediu urgente para tomar soro com insulina, sen%C3%A3o vai morrer. Ele encaminhou pra c%C3%A1 s%C3%B3 para tomar soro com insulina, para ver se baixa, para tentar sobreviver%22.	2021-01-15T02:02:05Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCZlWbj-3Z_-ktZrAw4bOz0w	TEOLOGIA & NOT%C3%8DCIAS	vEHg3VE4WmA	MANAUS PEDE SOCORRO PACIENTES APAGAM POR FALTA DE OXIG%C3%8ANIO/  SEM COVAS %2523MANAUS %2523SOSMANAUS	Povo de Manaus clama por ajuda. Falta oxig%C3%AAnio medicinal o que dificulta o tratamento dos pacientes acometidos pela doen%C3%A7a viral que novamente aumentou em n%C3%BAmero de casos no Estado. (CVD !9)	2021-01-15T02:01:17Z	-3.1190275	-60.0217314	Manaus	pt
UCGDZs2JZtnm7vq32t9Nitag	Edilene Alves	r72ANVIXkNA	Matan%C3%A7a em Manaus, governador n%C3%A3o paga os fornecedores de oxig%C3%AAnio.	V%C3%ADdeo de Edilene	2021-01-15T01:54:02Z	-3.0818222	-60.0650628	GWG Climatiza%C3%A7%C3%A3o & El%C3%A9trica	undefined
UCfFw7oDRMJdOAsjM45EWd6w	Neidinha Maciel	nOEJeB9Cf80	Falta de oxig%C3%AAnio nos hospitais de Manaus e fam%C3%ADlias entram em desespero.		2021-01-14T22:59:31Z	-3.1190275	-60.0217314	Manaus	pt-PT
UCuPjj_bsbKXajUu_USI3Z_Q	Rio Brasil Oficial	oHmpNX8Sf3c	Manaus vive colapso com hospitais sem oxig%C3%AAnio, doentes levados a outros estados %2523manaus %2523oxigenio	INSCREVA-SE NO MEU CANAL!	2021-01-14T22:49:05Z	-3.1190275	-60.0217314	Manaus	undefined
UCqeHGUgD_Fj4UagLs8th9fA	brmemes4k	dQf73wKhhng	Presidente do sindicato dos m%C3%A9dicos relata falta de oxig%C3%AAnio em hospitais de Manaus	Presidente do sindicato dos m%C3%A9dicos relata falta de oxig%C3%AAnio em hospitais de Manaus%0Aamazonas sem oxig%C3%AAnio	2021-01-14T19:31:08Z	-3.1190275	-60.0217314	Manaus	pt
UC97cuFnuiKzGHX8VANHVkjg	Jos%C3%A9 Augusto Souza	j1xscrxHQXU	Tenho COVID: o que fazer se faltar oxig%C3%AAnio	O que fazer quando faltar ar, e a respira%C3%A7%C3%A3o ficar dif%C3%ADcil? Existe um exerc%C3%ADcio simples que pode ser feito em casa e ajudar a recuperar a satura%C3%A7%C3%A3o de oxig%C3%AAnio em pacientes com covid-19. O uso incorreto do oxig%C3%AAnio pode trazer problemas %C3%A0 sa%C3%BAde. Esse e outros detalhes est%C3%A3o na entrevista com o fisioterapeuta intensivista Jhonata da Costa, feita no dia 13 de janeiro de 2021, em Manaus.	2021-01-14T13:05:50Z	-3.1190275	-60.0217314	Manaus	undefined
UCKbEHhciz01QzgxftB3BVEw	Samel	WpzYYwFp9So	Aquisi%C3%A7%C3%A3o do novo Tanque de Oxig%C3%AAnio para o Hospital Matriz - Grupo Samel	%F0%9F%93%8C Na manh%C3%A3 de domingo, 22 de mar%C3%A7o, o Grupo Samel, atrav%C3%A9s do diretor-presidente, Sr. Luis Alberto Nicolau, anunciou a aquisi%C3%A7%C3%A3o de um novo tanque de oxig%C3%AAnio que eleva a capacidade de armazenamento para utiliza%C3%A7%C3%A3o no atendimento a pacientes que necessitem de aux%C3%ADlio respirat%C3%B3rio.%0A.%0AConfira o momento da instala%C3%A7%C3%A3o do novo tanque de oxig%C3%AAnio neste v%C3%ADdeo.	2020-03-28T17:11:12Z	-3.1264966	-60.0195527	Hospital Samel - Av. Joaquim Nabuco	undefined
UCxtzSfJAOaSQ-LfNzHPYRzQ	Jonas Costa	P9M_0yWRO20	Bomba de oxig%C3%AAnio para aqu%C3%A1rio caseira	Mofo f%C3%A1cil e barata de se fazer	2019-04-02T17:22:59Z	-3.1341656	-59.9955978	Bet%C3%A2nia	undefined
UC1NmcKG04uVbtV4OJX21UVA	Jarbas Montenegro	CcY36CIs89g	Maizinha Independente Do Oxig%C3%AAnio Pra Poder Respirar...		2018-10-08T16:37:17Z	-3.127254	-59.992324	Rua Alonso de Pineda, 56	undefined
